miRNA_Name,k-mer_vector_1,k-mer_vector_2,k-mer_vector_3,k-mer_vector_4,k-mer_vector_5,k-mer_vector_6,k-mer_vector_7,k-mer_vector_8,k-mer_vector_9,k-mer_vector_10,k-mer_vector_11,k-mer_vector_12,k-mer_vector_13,k-mer_vector_14,k-mer_vector_15,k-mer_vector_16,k-mer_vector_17,k-mer_vector_18,k-mer_vector_19,k-mer_vector_20,k-mer_vector_21,k-mer_vector_22,k-mer_vector_23,k-mer_vector_24,k-mer_vector_25,k-mer_vector_26,k-mer_vector_27,k-mer_vector_28,k-mer_vector_29,k-mer_vector_30,k-mer_vector_31,k-mer_vector_32,k-mer_vector_33,k-mer_vector_34,k-mer_vector_35,k-mer_vector_36,k-mer_vector_37,k-mer_vector_38,k-mer_vector_39,k-mer_vector_40,k-mer_vector_41,k-mer_vector_42,k-mer_vector_43,k-mer_vector_44,k-mer_vector_45,k-mer_vector_46,k-mer_vector_47,k-mer_vector_48,k-mer_vector_49,k-mer_vector_50,k-mer_vector_51,k-mer_vector_52,k-mer_vector_53,k-mer_vector_54,k-mer_vector_55,k-mer_vector_56,k-mer_vector_57,k-mer_vector_58,k-mer_vector_59,k-mer_vector_60,k-mer_vector_61,k-mer_vector_62,k-mer_vector_63,k-mer_vector_64
456,0,0,0,0.047619048,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0,0.095238095,0.142857143,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0
457,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0.05,0,0,0,0.05,0.1,0,0.1,0.15,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0.05,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0.047619048,0,0.142857143,0,0.095238095,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0.047619048,0.047619048,0,0,0,0.047619048,0.047619048,0.095238095,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0
459,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0.055555556,0,0,0,0.222222222,0,0.055555556,0.222222222,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.1,0,0.05,0,0,0.05,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0,0,0.05,0
461,0,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0.047619048,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0.095238095,0,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0.047619048
462,0,0.052631579,0,0.052631579,0.105263158,0,0,0,0.052631579,0,0,0,0.105263158,0,0.052631579,0,0,0.052631579,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0.052631579,0.105263158,0,0,0,0,0,0,0.052631579,0.052631579,0.105263158,0,0,0.105263158,0,0.052631579,0.052631579,0
464,0,0,0,0,0,0.052631579,0.052631579,0,0.052631579,0.052631579,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.105263158,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0.157894737,0,0,0,0,0.052631579,0.157894737,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0.047619048,0,0.095238095,0,0.047619048,0,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0.047619048,0.047619048,0,0,0,0.047619048,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0,0
466,0,0.047619048,0,0.047619048,0.095238095,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0.095238095,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0,0.047619048,0
467,0,0,0.05,0,0,0,0,0.1,0.05,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0,0
468,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0.095238095,0,0.047619048,0,0,0.047619048,0,0,0.095238095,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0,0.047619048,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0.047619048,0.142857143,0.047619048,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0.047619048,0.19047619,0,0.047619048,0,0.047619048,0,0,0.047619048,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.047619048
470,0,0,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0.05,0.05,0.05,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0.05,0.05,0.1
471,0,0,0,0.047619048,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0,0,0.095238095,0,0,0,0.047619048,0.047619048,0,0.047619048,0,0,0.047619048,0,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0.095238095,0,0,0,0,0,0.047619048,0
472,0,0,0,0,0,0,0,0.0625,0.0625,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.0625,0.125,0,0,0,0,0,0.0625,0,0.125,0.0625,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0
473,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0.133333333,0.133333333,0.066666667,0,0.133333333,0,0,0,0,0,0.066666667,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0.066666667,0
474,0.071428571,0.071428571,0,0,0.071428571,0.071428571,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.071428571,0,0.071428571,0.071428571,0,0,0,0,0,0,0,0,0,0,0.071428571,0.071428571,0,0,0,0,0,0,0.142857143,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,0.117647059,0,0.117647059,0,0,0,0,0,0.058823529,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0.058823529,0,0.294117647,0.058823529,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0.071428571,0.071428571,0,0,0.071428571,0,0,0.214285714,0,0.071428571,0,0,0,0,0,0,0,0.071428571,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.071428571,0,0,0,0,0,0.071428571,0,0
477,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0.125,0,0.125,0.0625,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0.0625,0,0.125,0,0.0625,0,0,0.0625,0,0,0,0.0625,0.0625,0,0,0,0.125,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0.133333333,0,0.066666667,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0.133333333,0,0.066666667,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0.066666667,0,0,0,0.066666667,0,0,0,0,0.066666667,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0.066666667,0,0,0,0,0.066666667,0,0,0,0,0,0.066666667,0,0.066666667,0,0,0,0,0,0.066666667,0,0.066666667,0.066666667,0.066666667,0,0.066666667,0,0.066666667,0.066666667,0.066666667
481,0.1,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0.1,0.05,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0
482,0,0,0,0,0.05,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0.15,0,0.05,0,0,0,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
483,0.066666667,0,0.066666667,0,0,0,0,0,0.133333333,0,0.066666667,0.066666667,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.133333333,0,0.066666667,0,0,0,0.066666667,0.066666667,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0.105263158,0.052631579,0,0,0,0.052631579,0,0,0,0.105263158,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.105263158,0,0.052631579,0,0,0.052631579,0
485,0.0625,0,0.0625,0,0,0,0,0,0.125,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0.1875,0,0,0,0,0.0625,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.0625,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.0625,0,0,0,0,0.125,0.0625,0,0.0625,0.0625,0,0,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0.0625,0,0,0.0625,0,0.0625
487,0.066666667,0,0.066666667,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0.066666667,0.066666667,0,0.066666667,0,0,0,0,0,0,0.066666667,0,0,0,0.066666667,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0.095238095,0.047619048,0.047619048,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0,0,0.142857143,0,0,0,0.095238095,0
489,0,0.055555556,0,0,0,0.111111111,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.166666667,0,0,0,0,0.055555556,0,0.055555556,0.055555556,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.055555556,0,0,0,0.055555556,0,0,0
490,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0.058823529,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0.058823529,0.058823529,0,0.058823529,0,0,0.058823529,0,0,0.058823529,0.058823529,0.058823529,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0.117647059,0,0,0,0.058823529,0
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0.05,0,0.05,0.05,0.05,0,0,0.05,0,0,0,0,0,0.05,0.05,0.05,0,0.05,0,0.05,0.05,0,0,0,0
492,0,0,0.066666667,0,0,0,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0.066666667,0.066666667,0.066666667,0,0.066666667,0,0,0,0,0.066666667,0,0,0,0.066666667,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0.066666667
493,0,0,0.052631579,0.052631579,0,0,0,0,0.105263158,0,0,0.105263158,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0.105263158,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0.105263158,0.105263158,0,0,0,0,0,0,0
494,0,0.05,0.05,0,0.05,0,0.05,0,0.05,0.05,0.05,0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0.05,0.1,0,0,0,0,0,0.15,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0.1875,0,0,0,0.0625,0.0625,0.125,0.0625,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.066666667,0,0,0,0.066666667,0,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0.066666667,0.133333333
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0.066666667,0,0.066666667,0.2,0.066666667,0,0,0.066666667,0.133333333,0,0,0,0,0,0,0,0,0,0,0.066666667,0.133333333,0,0,0.066666667,0.066666667
498,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0.055555556,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0.055555556,0,0.055555556,0.111111111,0.111111111,0.055555556,0.055555556,0,0,0,0,0.055555556,0,0,0.055555556,0,0.055555556,0,0,0.055555556,0,0,0,0.055555556,0
499,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0.1,0,0.1,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0.15,0,0,0,0.05,0.05
500,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0,0.111111111,0.055555556,0.055555556,0,0.055555556,0,0,0.055555556,0,0,0,0,0.055555556,0,0,0.055555556,0.055555556,0,0,0.055555556,0
501,0,0,0,0,0,0.055555556,0.055555556,0,0,0,0,0.055555556,0,0.055555556,0,0,0,0.111111111,0,0,0.055555556,0,0.055555556,0,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0.055555556,0.055555556,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0.266666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0.2
503,0,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0.05,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0,0.05,0.05
504,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0.066666667,0,0,0.066666667,0,0,0,0.066666667,0.266666667,0.066666667,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0
505,0,0,0.052631579,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0,0.105263158,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0.052631579,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0.052631579,0.052631579
506,0,0,0.05,0,0,0.05,0,0,0,0,0.05,0.1,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0,0.1,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,0,0,0.125,0.25,0.0625,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0.1,0.05,0,0.15,0.05,0.05,0.05,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0.1,0,0.05,0,0,0
509,0.052631579,0.052631579,0.052631579,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0,0.052631579,0.052631579,0,0,0.052631579,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0
510,0,0,0.05,0,0.05,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.05,0,0,0.05,0,0.05,0,0.05,0,0,0.05,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0.1,0,0.1,0,0.05,0,0.05,0.05,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0.1,0.05,0,0,0.05,0
512,0,0,0.1,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0.1,0.1,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0
513,0,0,0.05,0,0.05,0,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0.15,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05
514,0,0,0,0,0,0,0,0,0,0.066666667,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0.266666667,0,0,0,0,0.133333333,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.1,0,0,0,0,0.1,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0.05,0,0.1,0,0,0.05,0
516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.133333333,0,0.066666667,0.066666667,0.133333333,0,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0.133333333,0,0,0.133333333,0
517,0.111111111,0,0.111111111,0,0,0,0,0,0.055555556,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0.055555556,0.111111111,0,0,0,0,0.055555556,0,0,0,0,0,0.055555556,0,0.055555556,0,0,0.055555556,0.055555556,0,0.055555556,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0.055555556,0,0.055555556,0.111111111,0,0.055555556,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0,0,0.055555556,0,0.055555556,0.055555556,0,0,0,0.111111111,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,0,0,0.058823529,0,0,0,0,0,0.058823529,0.058823529,0.058823529,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0.058823529,0,0.058823529,0,0.058823529,0,0,0.117647059,0,0.117647059,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0.058823529,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.125,0,0,0.0625,0,0,0,0,0,0,0,0,0.125,0.0625,0,0.1875,0.25,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.066666667,0,0,0,0,0,0,0.066666667,0.2,0.066666667,0,0.133333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0
522,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0.133333333,0,0,0.066666667,0.066666667,0,0,0.066666667,0,0,0,0,0,0.066666667,0.066666667,0.133333333,0.133333333,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0.066666667,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0.05,0.05,0,0.05,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0.1,0.1,0.05,0,0.05,0
524,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0.1,0,0,0.05,0,0.05,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0.1,0.05,0,0.05,0
525,0,0,0,0,0,0,0,0,0,0.043478261,0.043478261,0.043478261,0,0,0,0.043478261,0,0,0.043478261,0,0,0,0,0,0,0,0.043478261,0,0.043478261,0,0.043478261,0,0,0,0,0,0.043478261,0,0.043478261,0.086956522,0,0.086956522,0,0,0.043478261,0,0.043478261,0,0,0,0.086956522,0.043478261,0,0,0,0,0,0.043478261,0,0.086956522,0,0,0.043478261,0
526,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0.105263158,0,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0.052631579,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0.052631579,0,0.105263158,0,0,0.052631579,0,0,0,0
527,0,0.05,0,0.05,0.1,0,0,0,0.1,0,0,0,0.05,0,0.1,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0
528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.066666667,0,0,0,0.066666667,0,0,0,0,0,0,0,0.266666667,0.066666667,0,0.133333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0
529,0.05,0,0.1,0,0,0,0,0.05,0.05,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.1
530,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0.05,0,0.05,0,0,0,0.05,0,0.1,0,0.05,0.05,0.1
